          Date Of Operation:,01/01/2010 to 04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Date Mode:,ERP Transaction Date,,,,,,,,,,,,,,,,,,,,,,,,,
Branch:,1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,
Department:,All,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Date,Academic Year,Session,Alloted Category,Voucher Type,Voucher No.,Roll No.,Admno/UniqueId,Status,Fee Category,Faculty,Program,Department,Batch,Receipt No.,Fee Head,Due Amount,Paid Amount,Concession Amount,Scholarship Amount,Reverse Concession Amount,Write Off Amount,Adjusted Amount,Refund Amount,Fund Transfer Amount,Remarks
1854,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888360,11CETBT105153,11CETBT105153,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1246,Security Fee,0,10000,0,0,0,0,0,0,0,
1855,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888351,11CETBT105154,11CETBT105154,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1261,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1856,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888351,11CETBT105154,11CETBT105154,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1261,Security Fee,0,10000,0,0,0,0,0,0,0,
1857,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888331,11CETBT105156,11CETBT105156,No Information,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,ELECTRONICS AND COMMUNICATION ENGINEERING-2014-15 IV Sem VIII,1271,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1858,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888331,11CETBT105156,11CETBT105156,No Information,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,ELECTRONICS AND COMMUNICATION ENGINEERING-2014-15 IV Sem VIII,1271,Security Fee,0,10000,0,0,0,0,0,0,0,
1859,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892321,11CETBT102136,11CETBT102136,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1259,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1860,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892321,11CETBT102136,11CETBT102136,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1259,Security Fee,0,10000,0,0,0,0,0,0,0,
1861,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892315,11CETBT102137,11CETBT102137,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1263,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1862,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892315,11CETBT102137,11CETBT102137,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1263,Security Fee,0,10000,0,0,0,0,0,0,0,
1863,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892304,11CETBT102138,11CETBT102138,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1275,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1864,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892304,11CETBT102138,11CETBT102138,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1275,Security Fee,0,10000,0,0,0,0,0,0,0,
1865,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885135,11COMMBA101134,11COMMBA101134,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1237,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1866,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885135,11COMMBA101134,11COMMBA101134,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1237,Security Fee,0,10000,0,0,0,0,0,0,0,
1867,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888344,11CETBT105155,11CETBT105155,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1269,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1868,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888344,11CETBT105155,11CETBT105155,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1269,Security Fee,0,10000,0,0,0,0,0,0,0,
1869,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885128,11COMMBA101137,11COMMBA101137,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1276,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1870,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885128,11COMMBA101137,11COMMBA101137,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1276,Security Fee,0,10000,0,0,0,0,0,0,0,
1871,12/7/2011,2011-2012,2011-2012,AIE,RCPT,890825,11CETBT103030,11CETBT103030,No Information,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 I Sem II,1264,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1872,12/7/2011,2011-2012,2011-2012,AIE,RCPT,890825,11CETBT103030,11CETBT103030,No Information,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 I Sem II,1264,Security Fee,0,10000,0,0,0,0,0,0,0,
1873,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888391,11CETBT105150,11CETBT105150,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1233,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1874,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888391,11CETBT105150,11CETBT105150,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1233,Security Fee,0,10000,0,0,0,0,0,0,0,
1875,12/7/2011,2011-2012,2011-2012,AIE,RCPT,730226,11CCICBC101013,11CCICBC101013,Alumni,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2011-2012 III Sem VI,1232,TUITION FEE,0,65000,0,0,0,0,0,0,0,
1876,12/7/2011,2011-2012,2011-2012,AIE,RCPT,730226,11CCICBC101013,11CCICBC101013,Alumni,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2011-2012 III Sem VI,1232,Security Fee,0,10000,0,0,0,0,0,0,0,
1877,12/7/2011,2011-2012,2011-2012,AIE,RCPT,730238,11CCICBC101014,11CCICBC101014,No Information,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2011-2012 I Sem II,1266,TUITION FEE,0,65000,0,0,0,0,0,0,0,
1878,12/7/2011,2011-2012,2011-2012,AIE,RCPT,730238,11CCICBC101014,11CCICBC101014,No Information,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2011-2012 I Sem II,1266,Security Fee,0,10000,0,0,0,0,0,0,0,
1879,12/7/2011,2011-2012,2011-2012,AIE,RCPT,730250,11CCICBC101015,11CCICBC101015,Alumni,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2011-2012 III Sem VI,1273,TUITION FEE,0,65000,0,0,0,0,0,0,0,
1880,12/7/2011,2011-2012,2011-2012,AIE,RCPT,730250,11CCICBC101015,11CCICBC101015,Alumni,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2011-2012 III Sem VI,1273,Security Fee,0,10000,0,0,0,0,0,0,0,
1881,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888385,11CETBT105151,11CETBT105151,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1238,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1882,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888385,11CETBT105151,11CETBT105151,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1238,Security Fee,0,10000,0,0,0,0,0,0,0,
1883,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885114,11COMMBA101139,11COMMBA101139,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1284,TUITION FEE,0,10000,0,0,0,0,0,0,0,
1884,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885130,11COMMBA101136,11COMMBA101136,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1265,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1885,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885130,11COMMBA101136,11COMMBA101136,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1265,Security Fee,0,10000,0,0,0,0,0,0,0,
1886,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892324,11CETBT102135,11CETBT102135,No Information,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 I Sem II,1247,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1887,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892324,11CETBT102135,11CETBT102135,No Information,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 I Sem II,1247,Security Fee,0,10000,0,0,0,0,0,0,0,
1888,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885125,11COMMBA101138,11COMMBA101138,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1280,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1889,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885125,11COMMBA101138,11COMMBA101138,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1280,Security Fee,0,10000,0,0,0,0,0,0,0,
1890,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885115,11COMMBA101139,11COMMBA101139,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1283,TUITION FEE,0,118000,0,0,0,0,0,0,0,
1891,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885115,11COMMBA101139,11COMMBA101139,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1283,Security Fee,0,10000,0,0,0,0,0,0,0,
1892,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885133,11COMMBA101135,11COMMBA101135,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1236,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1893,12/7/2011,2011-2012,2011-2012,AIE,RCPT,885133,11COMMBA101135,11COMMBA101135,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1236,Security Fee,0,10000,0,0,0,0,0,0,0,
1894,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892377,11CETBT102130,11CETBT102130,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1228,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1895,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892377,11CETBT102130,11CETBT102130,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1228,Security Fee,0,10000,0,0,0,0,0,0,0,
1896,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895108,11CETBT101196,11CETBT101196,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1257,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1897,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895108,11CETBT101196,11CETBT101196,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1257,Security Fee,0,10000,0,0,0,0,0,0,0,
1898,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895100,11CETBT101197,11CETBT101197,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1267,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1899,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895100,11CETBT101197,11CETBT101197,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1267,Security Fee,0,10000,0,0,0,0,0,0,0,
1900,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895093,11CETBT101198,11CETBT101198,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1278,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1901,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895093,11CETBT101198,11CETBT101198,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1278,Security Fee,0,10000,0,0,0,0,0,0,0,
1902,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895086,11CETBT101199,11CETBT101199,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1279,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1903,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895086,11CETBT101199,11CETBT101199,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1279,Security Fee,0,10000,0,0,0,0,0,0,0,
1904,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895121,11CETBT101195,11CETBT101195,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1249,TUITION FEE,0,45000,0,0,0,0,0,0,0,
1905,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895122,11CETBT101195,11CETBT101195,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1250,TUITION FEE,0,45000,0,0,0,0,0,0,0,
1906,12/7/2011,2011-2012,2011-2012,AIE,RCPT,886282,11COMBB101032,11COMBB101032,No Information,General,School of Business,Bachelor of Business Administration,School of Business,Bachelor of Business Administration 2015-16 III Sem VI,1268,TUITION FEE,0,65000,0,0,0,0,0,0,0,
1907,12/7/2011,2011-2012,2011-2012,AIE,RCPT,886282,11COMBB101032,11COMBB101032,No Information,General,School of Business,Bachelor of Business Administration,School of Business,Bachelor of Business Administration 2015-16 III Sem VI,1268,Security Fee,0,10000,0,0,0,0,0,0,0,
1908,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895184,11CETBT101188,11CETBT101188,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,2877,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1909,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895135,11CETBT101194,11CETBT101194,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,2881,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1910,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895135,11CETBT101194,11CETBT101194,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,2881,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1911,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895135,11CETBT101194,11CETBT101194,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,2881,Security Fee,0,10000,0,0,0,0,0,0,0,
1912,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895123,11CETBT101195,11CETBT101195,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1248,TUITION FEE,0,25000,0,0,0,0,0,0,0,
1913,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895123,11CETBT101195,11CETBT101195,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1248,Security Fee,0,10000,0,0,0,0,0,0,0,
1914,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897634,11CCICMCA102085,11CCICMCA102085,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1235,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1915,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897634,11CCICMCA102085,11CCICMCA102085,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1235,Security Fee,0,10000,0,0,0,0,0,0,0,
1916,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897621,11CCICMCA102086,11CCICMCA102086,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1253,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1917,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897621,11CCICMCA102086,11CCICMCA102086,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1253,Security Fee,0,10000,0,0,0,0,0,0,0,
1918,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888328,11CETBT105157,11CETBT105157,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1285,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1919,12/7/2011,2011-2012,2011-2012,AIE,RCPT,888328,11CETBT105157,11CETBT105157,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,1285,Security Fee,0,10000,0,0,0,0,0,0,0,
1920,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892365,11CETBT102131,11CETBT102131,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1229,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1921,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892365,11CETBT102131,11CETBT102131,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1229,Security Fee,0,10000,0,0,0,0,0,0,0,
1922,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892353,11CETBT102132,11CETBT102132,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1231,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1923,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892353,11CETBT102132,11CETBT102132,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1231,Security Fee,0,10000,0,0,0,0,0,0,0,
1924,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892348,11CETBT102133,11CETBT102133,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,3583,Ajustable_Excess_Amount,0,128000,0,0,0,0,0,0,0,
1925,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892348,11CETBT102133,11CETBT102133,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,3583,Security Fee,0,10000,0,0,0,0,0,0,0,
1926,12/7/2011,2011-2012,2011-2012,AIE,RCPT,893243,11CETBT102037,11CETBT102037,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,2914,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1927,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897601,11CCICMCA102089,11CCICMCA102089,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1270,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1928,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897601,11CCICMCA102089,11CCICMCA102089,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1270,Security Fee,0,10000,0,0,0,0,0,0,0,
1929,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897614,11CCICMCA102087,11CCICMCA102087,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1254,Security Fee,0,10000,0,0,0,0,0,0,0,
1930,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897613,11CCICMCA102087,11CCICMCA102087,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1255,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1931,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897609,11CCICMCA102088,11CCICMCA102088,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1258,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1932,12/7/2011,2011-2012,2011-2012,AIE,RCPT,897609,11CCICMCA102088,11CCICMCA102088,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,1258,Security Fee,0,10000,0,0,0,0,0,0,0,
1933,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892331,11CETBT102134,11CETBT102134,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1241,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1934,12/7/2011,2011-2012,2011-2012,AIE,RCPT,892331,11CETBT102134,11CETBT102134,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,1241,Security Fee,0,10000,0,0,0,0,0,0,0,
1935,12/7/2011,2011-2012,2011-2012,AIE,RCPT,895120,11CETBT101195,11CETBT101195,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,1251,TUITION FEE,0,13000,0,0,0,0,0,0,0,
1936,13-07-2011,2011-2012,2011-2012,AIE,RCPT,888725,11CETBT105101,11CETBT105101,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,3039,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1937,13-07-2011,2011-2012,2011-2012,AIE,RCPT,885088,11COMMBA101144,11COMMBA101144,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,1317,TUITION FEE,0,10000,0,0,0,0,0,0,0,
